lon,lat,mag,time_string,depth,catalog_id,event_id
27.21,37.47,4.3,2012-01-27T17:43:21,10.0,,170
25.16,36.03,4.5,2012-01-27T19:06:33,20.0,,171
25.06,36.03,4.7,2012-01-28T10:50:55,5.0,,172
25.08,36.01,4.8,2012-01-29T09:55:00,10.0,,173
24.09,40.13,5.2,2012-02-14T01:34:39,10.0,,174
37.46,38.65,4.6,2012-02-16T11:01:00,10.0,,175
27.47,38.15,4.4,2012-02-20T06:34:27,7.0,,176
21.65,37.59,4.3,2012-02-22T02:23:18,40.0,,177
13.42,38.65,4.4,2012-02-25T20:34:34,43.0,,178
6.66,44.54,4.5,2012-02-26T22:37:55,2.0,,179
24.06,40.13,5.3,2012-03-04T03:31:00,2.0,,180
7.63,42.03,4.5,2012-03-04T03:47:39,2.0,,181
9.38,44.54,4.3,2012-03-05T15:15:00,10.5,,182
13.2,42.81,4.0,2012-03-15T03:29:00,6.0,,183
24.02,35.86,4.0,2012-03-24T05:55:10,50.0,,184
20.53,39.46,4.6,2012-03-25T04:46:54,1.0,,185
42.27,39.24,5.2,2012-03-26T10:35:33,7.0,,186
4.59,36.1,4.2,2012-04-05T04:56:21,10.0,,187
13.31,38.19,4.5,2012-04-13T06:21:35,20.0,,188
21.65,36.78,5.6,2012-04-16T11:23:44,35.0,,189
21.74,36.68,4.5,2012-04-16T15:06:55,56.0,,190
29.12,39.11,4.5,2012-04-19T19:52:42,7.0,,191
25.4,34.73,4.8,2012-04-23T22:15:33,2.0,,192
1.55,36.51,4.8,2012-04-25T03:18:18,10.0,,193
29.08,39.12,4.8,2012-04-26T22:05:33,8.0,,194
26.7,38.66,4.8,2012-05-01T14:48:29,9.0,,195
29.1,39.13,5.3,2012-05-03T15:20:26,10.0,,196
21.41,36.5,4.5,2012-05-07T07:40:33,10.0,,197
34.17,34.25,5.3,2012-05-11T18:48:30,20.0,,198
11.26,44.9,4.3,2012-05-19T23:13:27,15.0,,199
11.25,44.89,6.1,2012-05-20T02:03:53,10.0,,200
11.15,44.86,5.1,2012-05-20T03:02:50,10.0,,201
11.49,44.83,5.2,2012-05-20T13:18:00,15.0,,202
11.38,44.88,4.5,2012-05-20T17:37:14,15.0,,203
11.35,44.85,4.1,2012-05-21T16:37:31,15.0,,204
23.01,42.66,5.7,2012-05-22T00:00:33,10.0,,205
23.05,42.64,4.8,2012-05-22T01:30:51,10.0,,206
20.75,39.21,4.3,2012-05-23T01:46:50,1.0,,207
11.25,44.87,4.1,2012-05-23T21:41:18,10.0,,208
38.58,38.15,4.4,2012-05-25T11:22:39,7.0,,209
24.71,34.6,4.5,2012-05-26T08:52:14,30.0,,210
16.12,39.86,4.5,2012-05-28T01:06:27,3.0,,211
21.55,37.99,4.2,2012-05-28T15:44:12,16.0,,212
11.09,44.85,6.0,2012-05-29T07:00:00,15.0,,213
10.94,44.9,4.7,2012-05-29T08:25:51,15.0,,214
11.01,44.89,5.5,2012-05-29T10:55:57,6.8,,215
39.52,43.39,4.2,2012-05-30T07:58:23,10.0,,216
10.94,44.9,4.9,2012-06-03T19:20:43,15.0,,217
28.16,36.94,4.5,2012-06-04T14:19:53,6.0,,218
12.35,44.43,4.2,2012-06-06T04:08:31,25.6,,219
20.91,41.38,4.6,2012-06-07T10:17:14,1.0,,220
27.92,40.85,5.0,2012-06-07T20:54:26,14.0,,221
12.44,46.21,4.2,2012-06-09T02:04:56,7.1,,222
28.94,36.35,6.1,2012-06-10T12:44:15,10.0,,223
29.02,36.39,4.3,2012-06-10T18:28:33,20.0,,224
10.89,44.88,4.2,2012-06-12T01:48:36,15.0,,225
42.46,37.23,5.3,2012-06-14T05:52:53,5.0,,226
29.09,36.27,4.7,2012-06-14T16:46:00,10.0,,227
21.58,40.53,4.6,2012-06-17T19:20:42,27.0,,228
6.38,39.13,4.6,2012-06-18T22:09:49,5.0,,229
29.16,39.14,4.6,2012-06-19T01:46:13,9.0,,230
22.03,38.14,4.7,2012-06-23T17:52:30,55.0,,231
31.05,35.73,4.5,2012-06-23T18:47:17,30.0,,232
43.67,38.73,4.9,2012-06-24T20:07:22,5.0,,233
29.01,36.39,5.0,2012-06-25T13:05:30,49.0,,234
14.65,33.99,4.7,2012-07-03T05:03:42,10.0,,235
16.87,37.69,4.6,2012-07-04T11:12:12,40.0,,236
15.14,38.57,4.3,2012-07-04T13:27:12,178.0,,237
26.73,34.9,5.1,2012-07-04T23:46:35,60.0,,238
26.67,45.68,4.4,2012-07-06T22:48:00,113.0,,239
28.88,35.52,5.7,2012-07-09T13:54:59,50.0,,240
23.08,42.61,4.2,2012-07-14T12:52:00,5.0,,241
25.23,34.22,4.8,2012-07-18T19:37:21,40.0,,242
36.38,37.55,4.8,2012-07-22T09:26:00,7.0,,243
23.39,34.99,4.3,2012-07-24T20:19:45,60.0,,244
17.92,44.19,4.7,2012-07-27T23:12:22,2.0,,245
17.91,44.18,4.4,2012-07-30T09:01:17,2.0,,246
28.03,38.71,4.6,2012-08-03T10:18:20,5.0,,247
16.77,43.98,4.5,2012-08-03T19:57:27,20.0,,248
24.08,34.42,4.9,2012-08-07T07:48:22,30.0,,249
16.27,41.77,4.1,2012-08-12T01:21:36,8.4,,250
13.73,38.52,4.2,2012-08-13T07:30:51,26.5,,251
15.71,38.25,4.6,2012-08-28T23:12:15,45.4,,252
19.93,41.1,4.3,2012-09-04T22:43:43,10.0,,253
24.03,34.74,5.3,2012-09-12T03:27:45,30.0,,254
35.77,37.44,4.6,2012-09-16T07:54:15,18.0,,255
37.1,37.31,5.0,2012-09-19T09:17:46,7.0,,256
22.55,35.23,5.0,2012-09-21T08:47:39,10.0,,257
22.62,35.42,4.7,2012-09-21T15:39:16,44.0,,258
22.74,38.07,5.0,2012-09-22T03:52:24,10.0,,259
20.83,40.15,4.8,2012-09-22T06:15:57,10.0,,260
30.0,34.73,4.6,2012-09-26T01:28:30,10.0,,261
14.81,38.52,4.5,2012-09-29T00:39:44,249.0,,262
27.88,35.19,4.6,2012-09-29T05:25:42,10.0,,263
7.21,44.57,4.0,2012-10-03T09:20:43,10.0,,264
9.77,44.85,4.5,2012-10-03T14:41:30,30.0,,265
33.8,39.35,4.7,2012-10-05T10:25:27,21.0,,266
25.25,40.26,4.5,2012-10-06T20:37:11,10.0,,267
4.44,36.92,4.2,2012-10-10T06:14:42,15.0,,268
37.11,37.3,4.5,2012-10-16T01:16:00,10.0,,269
37.16,37.27,4.5,2012-10-16T10:25:00,39.0,,270
15.59,39.74,4.8,2012-10-16T15:10:59,270.0,,271
30.94,32.48,5.0,2012-10-19T03:35:11,10.0,,272
20.62,38.97,4.9,2012-10-23T15:20:44,15.0,,273
16.01,39.88,5.3,2012-10-25T23:05:24,15.0,,274
22.89,38.96,4.6,2012-10-26T23:16:45,17.0,,275
19.07,42.54,4.6,2012-11-12T23:18:42,18.0,,276
15.84,38.27,4.4,2012-11-13T07:06:33,76.0,,277
19.02,42.55,4.5,2012-11-13T23:24:10,17.0,,278
37.12,37.32,4.9,2012-11-13T23:55:50,24.0,,279
37.14,37.28,4.4,2012-11-14T00:02:00,10.0,,280
14.96,37.8,4.1,2012-11-22T09:10:41,10.0,,281
14.99,37.77,4.2,2012-11-22T11:25:52,20.0,,282
27.95,36.58,4.7,2012-11-26T17:35:42,10.0,,283
5.19,36.84,5.0,2012-11-28T23:15:29,10.0,,284
5.19,36.89,4.3,2012-11-28T23:50:48,10.0,,285
26.76,45.75,4.3,2012-12-01T20:52:00,78.0,,286
28.65,43.41,4.2,2012-12-03T18:58:39,10.0,,287
23.03,36.92,4.6,2012-12-04T18:59:43,10.0,,288
23.11,36.94,4.5,2012-12-06T17:48:15,13.0,,289
19.73,41.13,4.1,2012-12-13T21:39:27,10.0,,290
25.1,34.05,4.6,2013-01-03T08:39:10,10.0,,291
14.8,37.81,4.4,2013-01-04T07:50:00,10.0,,292
37.96,37.93,4.3,2013-01-08T06:05:00,14.0,,293
37.96,37.92,4.5,2013-01-08T06:15:00,15.0,,294
25.54,39.66,5.8,2013-01-08T14:16:00,10.0,,295
25.63,39.71,4.5,2013-01-09T15:41:33,10.0,,296
25.52,39.67,4.4,2013-01-11T00:30:20,25.0,,297
25.55,39.65,4.7,2013-01-13T08:55:15,10.0,,298
21.62,35.63,4.2,2013-01-14T11:50:57,15.0,,299
30.6,31.98,4.5,2013-01-17T21:17:35,10.0,,300
10.45,44.17,5.0,2013-01-25T14:48:18,15.0,,301
25.05,34.26,4.8,2013-02-02T11:33:54,10.0,,302
14.66,46.51,4.4,2013-02-02T13:35:34,10.0,,303
16.35,43.63,4.1,2013-02-04T04:29:46,10.0,,304
23.93,40.33,4.7,2013-02-15T14:42:55,10.0,,305
13.58,41.71,4.9,2013-02-16T21:16:00,11.0,,306
20.72,37.32,5.1,2013-02-17T03:12:54,10.0,,307
21.53,36.6,5.2,2013-02-17T05:42:00,15.0,,308
20.32,36.88,4.6,2013-02-21T05:54:37,10.0,,309
26.92,37.41,4.8,2013-02-21T10:18:51,11.0,,310
24.19,34.42,4.6,2013-03-05T21:42:00,10.0,,311
21.01,38.74,4.1,2013-03-11T21:27:28,10.0,,312
5.6,35.83,4.6,2013-03-16T09:49:29,20.0,,313
29.56,42.16,4.7,2013-03-19T12:44:30,10.0,,314
16.5,37.76,4.6,2013-03-24T15:47:22,30.0,,315
20.07,41.84,4.3,2013-03-25T07:20:58,13.0,,316
